angle (deg),,,Intensity,DoLP,sample
incidence,emission,phase ,,,
0,60,60,5.78694,0.0996672,10% Spectralon
20,60,40,5.2119,0.0562508,10% Spectralon
40,60,20,4.74405,0.0261114,10% Spectralon
-20,60,80,6.4879,0.126513,10% Spectralon
-30,60,90,6.83985,0.128232,10% Spectralon
-40,60,100,7.10404,0.121819,10% Spectralon
-50,60,110,7.23736,0.111566,10% Spectralon
-60,60,120,7.10122,0.106369,10% Spectralon
0,60,60,3.77232,0.131149,JSC-1A
20,60,40,3.85044,0.0823513,JSC-1A
40,60,20,4.01712,0.0563109,JSC-1A
-20,60,80,3.71636,0.18662,JSC-1A
-30,60,90,3.6578,0.213149,JSC-1A
-40,60,100,3.5453,0.236378,JSC-1A
-50,60,110,3.3662,0.255945,JSC-1A
-60,60,120,3.0994,0.272992,JSC-1A
